Data;Numer telefonu;Numer wybrany;Typ  polaczenia;Kierunek;Czas trwania;Netto;Brutto;Nr faktury
01.10.2025 12:48;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:06:25;0;0;FVT/MMM/00000387/1125
01.10.2025 15:20;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:06:43;0;0;FVT/MMM/00000387/1125
01.10.2025 16:19;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:04:45;0;0;FVT/MMM/00000387/1125
02.10.2025 12:50;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:02:04;0;0;FVT/MMM/00000387/1125
02.10.2025 12:54;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:06:20;0;0;FVT/MMM/00000387/1125
02.10.2025 14:55;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:01:13;0;0;FVT/MMM/00000387/1125
02.10.2025 22:35;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:03:22;0;0;FVT/MMM/00000387/1125
02.10.2025 22:39;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:01:32;0;0;FVT/MMM/00000387/1125
06.10.2025 12:07;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:06:24;0;0;FVT/MMM/00000387/1125
06.10.2025 14:30;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:11:12;0;0;FVT/MMM/00000387/1125
07.10.2025 10:01;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:04:05;0;0;FVT/MMM/00000387/1125
07.10.2025 10:17;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:02:53;0;0;FVT/MMM/00000387/1125
07.10.2025 15:05;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:08:28;0;0;FVT/MMM/00000387/1125
08.10.2025 07:28;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:06:41;0;0;FVT/MMM/00000387/1125
08.10.2025 12:21;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:00:57;0;0;FVT/MMM/00000387/1125
08.10.2025 12:22;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:07:29;0;0;FVT/MMM/00000387/1125
10.10.2025 07:41;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:10:20;0;0;FVT/MMM/00000387/1125
10.10.2025 12:50;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:05:03;0;0;FVT/MMM/00000387/1125
13.10.2025 09:27;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:05:14;0;0;FVT/MMM/00000387/1125
14.10.2025 13:11;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:05:34;0;0;FVT/MMM/00000387/1125
15.10.2025 08:25;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:12:18;0;0;FVT/MMM/00000387/1125
15.10.2025 09:08;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:02:54;0;0;FVT/MMM/00000387/1125
15.10.2025 13:38;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:11:12;0;0;FVT/MMM/00000387/1125
15.10.2025 14:44;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:03:42;0;0;FVT/MMM/00000387/1125
16.10.2025 13:43;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:06:32;0;0;FVT/MMM/00000387/1125
18.10.2025 04:58;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:00:14;0,29;0,36;FVT/MMM/00000387/1125
18.10.2025 05:33;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:17:20;0;0;FVT/MMM/00000387/1125
20.10.2025 08:30;48146801111;48222953537;Połączenia międzystrefowe poza sieć;SN Warszawa;00:06:53;0;0;FVT/MMM/00000387/1125
